epoch,Train_loss,Valid_loss
<<<<<<< HEAD
1,650.3591,690.1007690429688
2,620.66705,629.0640869140625
3,561.7819,519.3521728515625
4,455.80783,312.46307373046875
5,258.54407,49.489356994628906
6,27.371344,226.64291381835938
7,284.637,37.804779052734375
8,33.942436,78.07878875732422
9,56.30102,111.48667907714844
10,83.510796,81.22476196289062
11,56.7285,37.889793395996094
12,25.33832,40.782108306884766
13,43.68182,40.763240814208984
14,44.760098,33.98979568481445
15,24.310436,51.09412384033203
16,29.822233,60.232147216796875
17,34.43516,50.26824951171875
18,26.77505,35.995689392089844
19,21.095272,29.954425811767578
20,24.136395,28.111614227294922
21,21.455297,29.87584114074707
22,16.662346,36.34115219116211
23,15.991922,37.262264251708984
24,14.857746,27.503843307495117
25,15.341532,44.6811408996582
26,18.593323,39.26735305786133
27,18.773228,51.29453659057617
28,17.263544,41.9890251159668
29,16.737808,31.137666702270508
30,15.315995,26.87368392944336
31,14.270009,28.359392166137695
32,12.05947,25.799724578857422
33,11.933946,30.428451538085938
34,11.409621,31.461278915405273
35,10.108063,44.615928649902344
36,9.0586605,40.539669036865234
37,7.1325226,36.09572982788086
38,4.924754,38.42192840576172
39,3.7853065,36.92349624633789
40,3.6230485,43.769744873046875
41,3.0034115,41.273075103759766
42,3.163259,35.35211181640625
43,3.9803882,34.28555679321289
44,2.92877,40.32706069946289
45,2.0772007,37.14390563964844
46,1.1851925,35.430908203125
47,1.1322829,40.08096694946289
48,0.8567693,40.71706008911133
49,0.6320473,39.05965805053711
50,0.49718994,41.199615478515625
51,0.37518302,42.50386428833008
52,0.29154322,42.249088287353516
53,0.25729457,43.1303596496582
54,0.17358804,44.429290771484375
55,0.15787004,44.21937942504883
56,0.121554434,44.655433654785156
57,0.07300371,44.43316650390625
58,0.08129666,43.00080490112305
59,0.05629175,42.78556823730469
60,0.050316766,42.60214614868164
61,0.04399212,41.4296989440918
62,0.031194571,41.090267181396484
63,0.023216672,40.392616271972656
64,0.021256866,39.39592742919922
65,0.019086644,39.3062858581543
66,0.016716497,38.49775695800781
67,0.011936294,38.127662658691406
68,0.008841875,38.0048713684082
69,0.0076277563,37.3154411315918
70,0.0068824836,37.328330993652344
71,0.0060681873,36.744178771972656
72,0.0043834774,36.59336853027344
73,0.0030498412,36.22246170043945
74,0.0027231462,35.86154556274414
75,0.0024849486,35.828712463378906
76,0.0021967762,35.41945266723633
77,0.0019701442,35.526390075683594
78,0.0017292977,35.07059097290039
79,0.0015267415,35.238037109375
80,0.0013224487,34.790985107421875
81,0.001175813,34.97711181640625
82,0.0010568957,34.5622444152832
83,0.00090666086,34.75196075439453
84,0.0008230554,34.380096435546875
85,0.00072509906,34.57854080200195
86,0.00063217495,34.23789596557617
87,0.0005533765,34.43281555175781
88,0.00050589547,34.1128044128418
89,0.00045626418,34.289119720458984
90,0.00041065735,33.995819091796875
91,0.00034861077,34.16689682006836
92,0.00031134262,33.902915954589844
93,0.00027033748,34.062896728515625
94,0.00024385478,33.831687927246094
95,0.00020681908,33.9746208190918
96,0.00017951902,33.770851135253906
97,0.00015329877,33.897064208984375
98,0.00013378974,33.72259521484375
99,0.00011155437,33.8311653137207
100,9.4588984e-05,33.68715286254883
101,7.719429e-05,33.77528762817383
102,6.343567e-05,33.65754318237305
103,5.035655e-05,33.7254753112793
104,3.9935487e-05,33.632957458496094
105,3.1446565e-05,33.68539047241211
106,2.5109468e-05,33.61463928222656
107,1.9743731e-05,33.65364074707031
108,1.559316e-05,33.598297119140625
109,1.2036128e-05,33.625709533691406
110,9.261277e-06,33.584102630615234
111,7.0898154e-06,33.60109329223633
112,5.4091306e-06,33.57157897949219
113,4.1099784e-06,33.5819091796875
114,3.1014326e-06,33.562191009521484
115,2.331481e-06,33.56703567504883
116,1.7948621e-06,33.5546989440918
117,1.3849071e-06,33.55512619018555
118,1.1090611e-06,33.54761505126953
119,8.792557e-07,33.54496765136719
120,7.16471e-07,33.54091262817383
121,5.9169935e-07,33.536537170410156
122,5.005677e-07,33.535240173339844
123,4.3155111e-07,33.530250549316406
124,3.7275532e-07,33.530879974365234
125,3.2690363e-07,33.525634765625
126,2.8330908e-07,33.527099609375
127,2.4865125e-07,33.52180099487305
128,2.1715023e-07,33.52378463745117
129,1.9480166e-07,33.51848220825195
130,1.7271782e-07,33.520931243896484
131,1.5905334e-07,33.515785217285156
132,1.4618685e-07,33.51875305175781
133,1.388097e-07,33.51343536376953
134,1.3119363e-07,33.51680374145508
135,1.2974108e-07,33.511383056640625
136,1.2598792e-07,33.515220642089844
137,1.2725013e-07,33.50966262817383
=======
1,"[0, 654.02587890625]","[0, 711.1849975585938]"
2,"[0, 653.7326049804688]","[0, 710.6613159179688]"
>>>>>>> 859bb1da9020ce72d3e50248cefc3e7f8c7034d8
